package,package_url,version,identity,identity_url,title,status,fmm,wg,date,realm,auth
hl7.fhir.us.ecr,https://build.fhir.org/ig/HL7/case-reporting/,R4,StructureDefinition/ersd-supplemental-library,/xig/resource/hl7.fhir.us.ecr%7Ccurrent/StructureDefinition/ersd-supplemental-library,eRSD Supplemental Library,active,NA,pher,NA,us,hl7
hl7.fhir.us.medmorph,https://build.fhir.org/ig/HL7/fhir-medmorph/,R4,StructureDefinition/us-ph-valueset-library,/xig/resource/hl7.fhir.us.medmorph%7Ccurrent/StructureDefinition/us-ph-valueset-library,US Public Health ValueSet Library,active,NA,NA,NA,us,hl7
hl7.fhir.us.ecr,https://build.fhir.org/ig/HL7/case-reporting/,R4,StructureDefinition/us-ph-valueset-library,/xig/resource/hl7.fhir.us.ecr%7Ccurrent/StructureDefinition/us-ph-valueset-library,US Public Health ValueSet Library,active,NA,pher,NA,us,hl7
hl7.fhir.us.medmorph,https://build.fhir.org/ig/HL7/fhir-medmorph/,R4,StructureDefinition/us-ph-supplemental-valueset-library,/xig/resource/hl7.fhir.us.medmorph%7Ccurrent/StructureDefinition/us-ph-supplemental-valueset-library,US Public Health Supplemental ValueSet Library,active,NA,NA,NA,us,hl7
hl7.fhir.us.ecr,https://build.fhir.org/ig/HL7/case-reporting/,R4,StructureDefinition/us-ph-supplemental-valueset-library,/xig/resource/hl7.fhir.us.ecr%7Ccurrent/StructureDefinition/us-ph-supplemental-valueset-library,US Public Health Supplemental ValueSet Library,active,NA,pher,NA,us,hl7
hl7.fhir.us.medmorph,https://build.fhir.org/ig/HL7/fhir-medmorph/,R4,StructureDefinition/us-ph-triggering-valueset-library,/xig/resource/hl7.fhir.us.medmorph%7Ccurrent/StructureDefinition/us-ph-triggering-valueset-library,US Public Health Triggering ValueSet Library,active,NA,NA,NA,us,hl7
hl7.fhir.us.ecr,https://build.fhir.org/ig/HL7/case-reporting/,R4,StructureDefinition/us-ph-triggering-valueset-library,/xig/resource/hl7.fhir.us.ecr%7Ccurrent/StructureDefinition/us-ph-triggering-valueset-library,US Public Health Triggering ValueSet Library,active,NA,pher,NA,us,hl7
smart.who.int.base,https://build.fhir.org/ig/WorldHealthOrganization/smart-base/,R4,StructureDefinition/SGLibrary,/xig/resource/smart.who.int.base%7Ccurrent/StructureDefinition/SGLibrary,SMART Guidelines Library,draft,NA,NA,NA,NA,who
br.go.ses.core,file:///ig/output,R4,StructureDefinition/logica-extracao-resultados,/xig/resource/br.go.ses.core%7C0.0.1/StructureDefinition/logica-extracao-resultados,Lógica Extração Resultados,draft,NA,NA,NA,br,NA
hl7.fhir.uv.crmi,https://build.fhir.org/ig/HL7/crmi-ig/,R4,StructureDefinition/crmi-shareablelibrary,/xig/resource/hl7.fhir.uv.crmi%7Ccurrent/StructureDefinition/crmi-shareablelibrary,CRMI Shareable Library,trial-use,4,cds,NA,uv,hl7
de.nfdi4health.mds,NA,R4,StructureDefinition/nfdi4health-pr-mds-registry,/xig/resource/de.nfdi4health.mds%7C2.1.0/StructureDefinition/nfdi4health-pr-mds-registry,NFDI4Health PR MDS Registry,draft,NA,NA,NA,NA,NA
il.core.fhir.r4,NA,R4,StructureDefinition/il-core-library,/xig/resource/il.core.fhir.r4%7C0.18.1/StructureDefinition/il-core-library,ILCore Library Profile,trial-use,1,NA,NA,il,national
hl7.eu.fhir.oah,https://build.fhir.org/ig/hl7-eu/oah/,R4,StructureDefinition/library-oah,/xig/resource/hl7.eu.fhir.oah%7Ccurrent/StructureDefinition/library-oah,Library: OAH Indicators,draft,NA,NA,NA,eu,hl7
hl7.eu.fhir.gh,https://build.fhir.org/ig/hl7-eu/gravitate-health/,R5,StructureDefinition/lens,/xig/resource/hl7.eu.fhir.gh%7Ccurrent/StructureDefinition/lens,Lens Profile,active,NA,NA,NA,eu,hl7
hl7.fhir.uv.ebm,https://build.fhir.org/ig/HL7/ebm/,R6,StructureDefinition/search-results,/xig/resource/hl7.fhir.uv.ebm%7Ccurrent/StructureDefinition/search-results,SearchResults,trial-use,1,cds,NA,uv,hl7
hl7.fhir.uv.ebm,https://build.fhir.org/ig/HL7/ebm/,R6,StructureDefinition/systematic-review-excluded-studies,/xig/resource/hl7.fhir.uv.ebm%7Ccurrent/StructureDefinition/systematic-review-excluded-studies,SystematicReviewExcludedStudies,trial-use,1,cds,NA,uv,hl7
hl7.fhir.uv.ebm,https://build.fhir.org/ig/HL7/ebm/,R6,StructureDefinition/systematic-review-included-studies,/xig/resource/hl7.fhir.uv.ebm%7Ccurrent/StructureDefinition/systematic-review-included-studies,SystematicReviewIncludedStudies,trial-use,1,cds,NA,uv,hl7
ihe.qrph.ccg,https://build.fhir.org/ig/IHE/QRPH.CCG/,R4,StructureDefinition/ccg-card-library,/xig/resource/ihe.qrph.ccg%7Ccurrent/StructureDefinition/ccg-card-library,CCG Library for CARDs,active,NA,NA,NA,uv,ihe
hl7.fhir.uv.crmi,https://build.fhir.org/ig/HL7/crmi-ig/,R4,StructureDefinition/crmi-publishablelibrary,/xig/resource/hl7.fhir.uv.crmi%7Ccurrent/StructureDefinition/crmi-publishablelibrary,CRMI Publishable Library,trial-use,3,cds,NA,uv,hl7
hl7.fhir.uv.cmi,https://build.fhir.org/ig/HL7/Content-Management-Infrastructure-IG/,R4,StructureDefinition/cmi-computablelibrary,/xig/resource/hl7.fhir.uv.cmi%7Ccurrent/StructureDefinition/cmi-computablelibrary,CMI Computable Library,active,NA,NA,NA,uv,hl7
hl7.fhir.uv.cmi,https://build.fhir.org/ig/HL7/Content-Management-Infrastructure-IG/,R4,StructureDefinition/cmi-executablelibrary,/xig/resource/hl7.fhir.uv.cmi%7Ccurrent/StructureDefinition/cmi-executablelibrary,CMI Executable Library,active,NA,NA,NA,uv,hl7
hl7.fhir.uv.cmi,https://build.fhir.org/ig/HL7/Content-Management-Infrastructure-IG/,R4,StructureDefinition/cmi-shareablelibrary,/xig/resource/hl7.fhir.uv.cmi%7Ccurrent/StructureDefinition/cmi-shareablelibrary,CMI Library,active,NA,NA,NA,uv,hl7
