"package_id","realm","fhir_version","name","country","category","description"
"ihe.pcc.rpm","International","3.0.1","IHE Remote Patient Monitoring (RPM)","uv","Personal Healthcare","Provides means of reporting measurements taken by Personal Healthcare Devices in a remote location"
"ihe.pcc.ript","International","3.0.1","IHE Routine Interfacility Patient Transport (RIPT)","uv","Communications","Provides means of updating a Transport team with critical and necessary medical information on a patient to be transported"
"ihe.iti.acdc","International","4.0.1","IHE Assessment Curation and Data Collection (ACDC)","uv","EHR Access","Enables assessment developers and curators a means by which they can distribute assessment instruments to healthcare providers, supporting exchange of assessment data in a standardized form using the HL7 FHIR Questionnaire resource."
"ihe.qrph.madx","International","4.0.1","IHE Mobile Aggregate Data Exchange (mADX)","uv","EHR Access","Supports interoperable public health reporting of aggregate health data."
"hl7.fhir.us.ecr","US","4.0.1","Electronic Case Reporting","us","Medication / Immunization","The Electronic Case Reporting (eCR) Implementation Guide supports Reporting, investigation, and management via electronic transmission of clinical data from Electronic Health Records to Public Health Agencies, along with the management and processing of population cases. Ths IG covers Bi-directional information exchange and triggering and decision support"
"hl7.fhir.uv.livd","International","4.0.1","Loinc/IVD Test mapping","uv","Diagnostics","The LIVD Implementation Guide provides a industry standard expression for an IVD device manufacturer's suggestions for a specific device's mapping from the internal, proprietary IVD test codes to suggested LOINC codes when a LIS manager is connecting and configuring a device to the LIS"
"hl7.fhir.uv.pocd","International","4.0.1","Point of Care Devices","uv","Diagnostics","Defines the use of FHIR resources to convey measurements and supporting data from acute care point-of-care medical devices (PoCD) to receiving systems for electronic medical records, clinical decision support, and medical data archiving for aggregate quality measurement and research purposes"
"hl7.fhir.uv.pddi","International","4.0.1","Potential Drug/Drug Interaction","uv","Medications / Immunizations","This implementation guide is targeted at stakeholders who seek to increase the specificity and clinical relevance of drug-drug interaction alerts presented through the electronic health record. The approach is service-oriented and uses Web standards, a minimum information model for potential drug interactions, and emerging Health Information Technology standards including CDS Hooks, FHIR, and Clinical Quality Language (CQL)"
"hl7.fhir.uv.vhdir","International","4.0.1","Validated Healthcare Directory","uv","Administration","Defines the minimum conformance requirements for accessing or exposing validated healthcare directory data and provides a specification for the exchange of directory data between a source of validated provider data and local workflow environments (e.g. local directories)"
"hl7.fhir.us.davinci-crd","US","4.0.1","Coverage Requirements Determination (Da Vinci)","us","Financial","Provides a mechanism for healthcare providers to discover guidelines, pre-authorization requirements and other expectations from payor organizations related to a proposed medication, procedure or other service associated with a patient's insurance coverage. Supports both patient-specific and patient-independent information retrieval"
"hl7.fhir.us.davinci-deqm","US","4.0.1","Data Exchange for Quality Measures (Da Vinci)","us","Financial","Provides a mechanism for healthcare providers and data aggregators to exchange quality measure information using subscription, query, and push methods"
"hl7.fhir.us.odh","US","4.0.1","Occupational Data for Health","us","Clinical Observations","This IG covers the specific data that covers past or present jobs, usual work, employment status, retirement date and combat zone period for the subject. It also includes the past or present jobs and usual work of other household members"
"ihe.pcc.pcs","International","3.0.1","IHE Paramedicine Care Summary (PCS)","uv","Communications","Provides means for Emergency Transport to inform destination Hospital with critical and necessary medical information on patient being transported"
"ihe.pcc.bfde","International","3.0.1","IHE Birth and Fetal Death Reporting - Enhanced (BFDE)","uv","Medication / Immunization","Provides means for pre-populating of data from electronic health record systems to electronic vital records systems for birth and fetal death reporting"
